E0219 12:35:43.021839 1144781 buffer_comparator.cc:145] Difference at 4121: 0, expected 0.681785
2026-02-19 12:35:43.068934: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1165] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0219 12:35:43.575503 1144781 buffer_comparator.cc:145] Difference at 4128: 0, expected 0.947758
E0219 12:35:43.575560 1144781 buffer_comparator.cc:145] Difference at 4129: 0, expected 0.851241
E0219 12:35:43.575567 1144781 buffer_comparator.cc:145] Difference at 4130: 0, expected 1.45805
E0219 12:35:43.575572 1144781 buffer_comparator.cc:145] Difference at 4131: 0, expected 1.7303
E0219 12:35:43.575577 1144781 buffer_comparator.cc:145] Difference at 4132: 0, expected 0.889891
E0219 12:35:43.575582 1144781 buffer_comparator.cc:145] Difference at 4133: 0, expected 1.57887
E0219 12:35:43.575587 1144781 buffer_comparator.cc:145] Difference at 4134: 0, expected 0.335785
E0219 12:35:43.575592 1144781 buffer_comparator.cc:145] Difference at 4135: 0, expected 1.81315
E0219 12:35:43.575597 1144781 buffer_comparator.cc:145] Difference at 4136: 0, expected 0.951322
E0219 12:35:43.575602 1144781 buffer_comparator.cc:145] Difference at 4137: 0, expected 1.67064
2026-02-19 12:35:43.627377: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1165] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0219 12:35:44.168111 1144781 buffer_comparator.cc:145] Difference at 4128: 0, expected 0.947758
E0219 12:35:44.168181 1144781 buffer_comparator.cc:145] Difference at 4129: 0, expected 0.851241
E0219 12:35:44.168188 1144781 buffer_comparator.cc:145] Difference at 4130: 0, expected 1.45805
E0219 12:35:44.168193 1144781 buffer_comparator.cc:145] Difference at 4131: 0, expected 1.7303
E0219 12:35:44.168198 1144781 buffer_comparator.cc:145] Difference at 4132: 0, expected 0.889891
E0219 12:35:44.168203 1144781 buffer_comparator.cc:145] Difference at 4133: 0, expected 1.57887
E0219 12:35:44.168208 1144781 buffer_comparator.cc:145] Difference at 4134: 0, expected 0.335785
E0219 12:35:44.168213 1144781 buffer_comparator.cc:145] Difference at 4135: 0, expected 1.81315
E0219 12:35:44.168218 1144781 buffer_comparator.cc:145] Difference at 4136: 0, expected 0.951322
